year,month,lat,lng,weight
0,8,-10,57,0.00031
0,8,-10,60,0.00142
0,8,-10,61,0.00094
0,8,-10,63,0.00508
0,8,-10,64,0.00896
0,8,-10,67,0.00228
0,8,-10,68,0.00056
0,8,-10,69,0.00157
0,8,-10,70,0.00051
0,8,-10,72,0.00146
0,8,-10,74,0.00098
0,8,-10,76,0.00037
0,8,-10,80,0.00027
0,8,-10,81,0.00078
0,8,-10,85,0.00054
0,8,-10,89,0.00192
0,8,-10,90,0.00202
0,8,-10,92,0.00033
0,8,-10,93,0.00081
0,8,-10,94,0.00108
0,8,-10,95,0.00143
0,8,-10,97,0.00028
0,8,-10,98,0.00469
0,8,-10,99,0.00202
0,8,-10,100,0.00249
0,8,-10,101,0.00075
0,8,-10,102,0.00218
0,8,-10,103,0.00103
0,8,-10,105,0.00041
0,8,-10,107,0.00049
0,8,-10,108,0.00044
0,8,-9,43,0.00051
0,8,-9,47,0.00034
0,8,-9,48,0.00027
0,8,-9,50,0.00046
0,8,-9,51,0.00065
0,8,-9,52,0.00041
0,8,-9,54,0.00101
0,8,-9,55,0.00744
0,8,-9,57,0.00125
0,8,-9,58,0.00051
0,8,-9,59,0.00051
0,8,-9,60,0.00025
0,8,-9,61,0.00035
0,8,-9,62,0.00092
0,8,-9,63,0.00589
0,8,-9,64,0.01195
0,8,-9,65,0.00951
0,8,-9,67,0.00117
0,8,-9,68,0.00033
0,8,-9,69,0.00132
0,8,-9,70,0.00323
0,8,-9,71,0.00408
0,8,-9,72,0.00095
0,8,-9,73,0.00073
0,8,-9,74,0.00043
0,8,-9,75,0.00145
0,8,-9,77,0.00038
0,8,-9,81,0.00086
0,8,-9,82,0.00139
0,8,-9,83,0.00097
0,8,-9,84,0.00111
0,8,-9,85,0.00290
0,8,-9,86,0.00054
0,8,-9,87,0.00115
0,8,-9,90,0.00077
0,8,-9,91,0.00044
0,8,-9,92,0.00037
0,8,-9,93,0.00308
0,8,-9,94,0.00195
0,8,-9,96,0.00030
0,8,-9,97,0.00110
0,8,-9,98,0.00075
0,8,-9,99,0.00292
0,8,-9,100,0.00043
0,8,-9,101,0.00537
0,8,-9,102,0.00103
0,8,-9,103,0.00061
0,8,-9,104,0.00071
0,8,-9,105,0.00054
0,8,-9,106,0.00201
0,8,-8,42,0.00048
0,8,-8,46,0.00058
0,8,-8,47,0.00026
0,8,-8,49,0.00027
0,8,-8,51,0.00063
0,8,-8,52,0.00093
0,8,-8,53,0.00100
0,8,-8,54,0.00287
0,8,-8,55,0.00756
0,8,-8,56,0.00131
0,8,-8,58,0.00253
0,8,-8,64,0.00051
0,8,-8,65,0.00195
0,8,-8,66,0.00165
0,8,-8,71,0.00038
0,8,-8,72,0.00990
0,8,-8,73,0.00662
0,8,-8,74,0.00418
0,8,-8,75,0.00294
0,8,-8,77,0.00027
0,8,-8,80,0.00055
0,8,-8,81,0.00030
0,8,-8,84,0.00084
0,8,-8,87,0.00087
0,8,-8,89,0.00325
0,8,-8,90,0.00026
0,8,-8,91,0.00098
0,8,-8,92,0.00221
0,8,-8,93,0.00586
0,8,-8,94,0.00121
0,8,-8,96,0.00225
0,8,-8,97,0.00257
0,8,-8,98,0.00108
0,8,-8,99,0.00220
0,8,-8,100,0.00047
0,8,-8,101,0.00045
0,8,-8,102,0.00037
0,8,-7,40,0.00035
0,8,-7,41,0.00041
0,8,-7,42,0.00035
0,8,-7,43,0.00038
0,8,-7,44,0.00069
0,8,-7,45,0.00101
0,8,-7,46,0.00191
0,8,-7,47,0.00071
